Case ID,Actual,Prefix Length,Prediction,Prediction Probability;SHAP Precision;SHAP Recall;SHAP Correlation;LIME Precision;LIME Recall;LIME Correlation
951,1,1,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1016,0,1,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1019,0,1,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1027,0,1,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1057,1,1,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1085,1,1,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1097,1,1,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1108,0,1,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1000_3,0,3,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1001_12,0,12,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1002_13,1,13,1,0.9963262307127112;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1003_10,0,10,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1009_14,0,14,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1009_2,0,2,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1013_4,1,4,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1014_11,1,11,1,0.9963262307127112;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1017_4,1,4,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1018_11,0,11,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1019_11,0,11,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1019_13,0,13,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1019_2,0,2,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1020_10,1,10,1,0.9963262307127112;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1025_10,0,10,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1028_10,1,10,1,0.9963262307127112;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1028_12,1,12,1,0.9963262307127112;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1030_10,1,10,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1033_11,0,11,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1033_5,0,5,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1033_9,0,9,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1034_8,0,8,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1038_12,0,12,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1038_6,0,6,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1042_12,1,12,1,0.9963262307127112;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1042_14,1,14,1,0.9963262307127112;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1043_5,1,5,1,0.9963262307127112;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1048_14,0,14,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
1050_6,1,6,0,0.5718333805610655;1.0;1.0;1.0;1.0;1.0;0.04472382189025625
