Case ID;Actual;Prefix Length;Prediction;"Prediction Probability;SHAP Precision;SHAP Recall;SHAP Correlation";MAPE Correctness;RMSE Correctness;R2 Correctness;Mode
951;1;1;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1016;0;1;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1019;0;1;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1027;0;1;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1057;1;1;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1085;1;1;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1097;1;1;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1108;0;1;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1000_3;0;3;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1001_12;0;12;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1002_13;1;13;1;"0.9963262307127112;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_mean
1003_10;0;10;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1009_14;0;14;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1009_2;0;2;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1013_4;1;4;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1014_11;1;11;1;"0.9963262307127112;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_mean
1017_4;1;4;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1018_11;0;11;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1019_11;0;11;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1019_13;0;13;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1019_2;0;2;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1020_10;1;10;1;"0.9963262307127112;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_mean
1025_10;0;10;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1028_10;1;10;1;"0.9963262307127112;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_mean
1028_12;1;12;1;"0.9963262307127112;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_mean
1030_10;1;10;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1033_11;0;11;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1033_5;0;5;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1033_9;0;9;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1034_8;0;8;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1038_12;0;12;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1038_6;0;6;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1042_12;1;12;1;"0.9963262307127112;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_mean
1042_14;1;14;1;"0.9963262307127112;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_mean
1043_5;1;5;1;"0.9963262307127112;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_mean
1048_14;0;14;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1050_6;1;6;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1052_13;1;13;1;"0.9963262307127112;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_mean
1053_5;0;5;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1055_14;1;14;1;"0.9963262307127112;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_mean
1056_8;0;8;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1056_9;0;9;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1057_14;1;14;1;"0.9963262307127112;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_mean
1062_10;1;10;1;"0.9963262307127112;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_mean
1063_5;1;5;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1066_12;1;12;1;"0.9963262307127112;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_mean
1066_13;1;13;1;"0.9963262307127112;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_mean
1072_4;1;4;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1074_10;0;10;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1079_6;0;6;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1081_9;1;9;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1084_7;0;7;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1091_4;1;4;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1093_8;1;8;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1096_10;0;10;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1099_3;0;3;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1103_2;0;2;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1104_8;1;8;1;"0.9963262307127112;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_mean
1105_7;0;7;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1106_5;0;5;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1110_4;0;4;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1111_6;0;6;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1112_5;1;5;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1113_9;1;9;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1119_9;1;9;1;"0.9963262307127112;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_mean
1120_7;1;7;1;"0.9963262307127112;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_mean
1121_5;1;5;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1126_8;1;8;1;"0.9963262307127112;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_mean
1128_12;0;12;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1130_2;1;2;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1132_14;1;14;1;"0.9963262307127112;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_mean
1138_8;0;8;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
1141_5;0;5;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
913_8;1;8;1;"0.9963262307127112;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_mean
915_2;1;2;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
916_14;0;14;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
917_7;1;7;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
921_4;0;4;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
921_9;0;9;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
924_4;0;4;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
928_13;0;13;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
928_14;0;14;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
928_9;0;9;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
929_11;1;11;1;"0.9963262307127112;1.0;1.0;1.0";1.0;1.0;-1.0;baseline_mean
929_7;1;7;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
931_2;0;2;0;"0.5718333805610655;1.0;1.0;1.0";;;;baseline_mean
