"Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability;ACV Subset Stability;ACV Weight Stability;ACV Adjusted Weight Stability;LINDA Subset Stability;LINDA Weight Stability;LINDA Adjusted Weight Stability";MAPE Correctness;RMSE Correctness;R2 Correctness;Mode
"205367.0;0.0;1.0;0.0;0.5343462692875234;1.0;1.0;1.0;0.6167557932263815;0.9999890858323568;0.9999890858323568;;1.0;1.0;;1.0;1.0";0.8057046996494344;0.8057046996494344;-0.827170191868511;baseline_0
"205465.0;0.0;1.0;0.0;0.5297042561961682;1.0;1.0;1.0;0.7046703296703296;0.9999390846430376;0.9999390846430376;;1.0;1.0;;1.0;1.0";0.8094740127820163;0.8094740127820163;-0.8094740127820163;baseline_0
"206291.0;1.0;1.0;0.0;0.5223936346517872;1.0;1.0;1.0;0.6105072463768115;0.9999744848136708;0.9999744848136708;;1.0;1.0;;1.0;1.0";0.9720543770336834;0.9720543770336834;-0.9720543770336834;baseline_0
"207245.0;0.0;1.0;0.0;0.5367599291225325;1.0;1.0;1.0;0.7401987110633728;0.999992173364788;0.999992173364788;;1.0;1.0;;1.0;1.0";0.8885448916408669;0.8885448916408669;-0.8885448916408669;baseline_0
"208247.0;1.0;1.0;0.0;0.5206922620729353;1.0;1.0;1.0;1.0;0.9999572698026123;0.9999572698026123;;1.0;1.0;;1.0;1.0";0.9720543770336834;0.9720543770336834;-0.9720543770336834;baseline_0
"208934.0;0.0;1.0;0.0;0.5457650668017162;1.0;1.0;1.0;1.0;0.9999667963348652;0.9999667963348652;;1.0;1.0;;1.0;1.0";0.7388412390976141;0.7388412390976141;-0.7388412390976141;baseline_0
"209835.0;1.0;1.0;0.0;0.5308649421264483;1.0;1.0;1.0;0.7519230769230769;0.99996351990692;0.99996351990692;;1.0;1.0;;1.0;1.0";0.8850974359571877;0.8850974359571877;-0.8456774081396351;baseline_0
"212929.0;1.0;1.0;0.0;0.5159811743208265;1.0;1.0;1.0;1.0;0.9999712307507111;0.9999712307507111;;1.0;1.0;;1.0;1.0";0.9844767971874684;0.9844767971874684;-0.9844767971874684;baseline_0
"205367.0;0.0;1.0;0.0;0.5343462692875234;1.0;1.0;1.0;0.6167557932263815;0.9999890858323568;0.9999890858323568;;1.0;1.0;;1.0;1.0";0.8057046996494344;0.8057046996494344;-0.827170191868511;baseline_0
"205465.0;0.0;1.0;0.0;0.5297042561961682;1.0;1.0;1.0;0.7046703296703296;0.9999390846430376;0.9999390846430376;;1.0;1.0;;1.0;1.0";0.8094740127820163;0.8094740127820163;-0.8094740127820163;baseline_0
"206291.0;1.0;1.0;0.0;0.5223936346517872;1.0;1.0;1.0;0.6105072463768115;0.9999744848136708;0.9999744848136708;;1.0;1.0;;1.0;1.0";0.9720543770336834;0.9720543770336834;-0.9720543770336834;baseline_0
"207245.0;0.0;1.0;0.0;0.5367599291225325;1.0;1.0;1.0;0.7401987110633728;0.999992173364788;0.999992173364788;;1.0;1.0;;1.0;1.0";0.8885448916408669;0.8885448916408669;-0.8885448916408669;baseline_0
"208247.0;1.0;1.0;0.0;0.5206922620729353;1.0;1.0;1.0;1.0;0.9999572698026123;0.9999572698026123;;1.0;1.0;;1.0;1.0";0.9720543770336834;0.9720543770336834;-0.9720543770336834;baseline_0
"208934.0;0.0;1.0;0.0;0.5457650668017162;1.0;1.0;1.0;1.0;0.9999667963348652;0.9999667963348652;;1.0;1.0;;1.0;1.0";0.7388412390976141;0.7388412390976141;-0.7388412390976141;baseline_0
"209835.0;1.0;1.0;0.0;0.5308649421264483;1.0;1.0;1.0;0.7519230769230769;0.99996351990692;0.99996351990692;;1.0;1.0;;1.0;1.0";0.8850974359571877;0.8850974359571877;-0.8456774081396351;baseline_0
"212929.0;1.0;1.0;0.0;0.5159811743208265;1.0;1.0;1.0;1.0;0.9999712307507111;0.9999712307507111;;1.0;1.0;;1.0;1.0";0.9844767971874684;0.9844767971874684;-0.9844767971874684;baseline_0
