Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Precision;SHAP Recall;SHAP Correlation;LIME Precision;LIME Recall;LIME Correlation;LINDA Precision;LINDA Recall;LINDA Correlation
204667;1;1;1;0.5040057288636262;1.0;1.0;1.0;1.0;1.0;0.1291537225488286;0.008333333333333333;1.0;0.0
204703;1;1;1;0.5040057288636262;1.0;1.0;1.0;1.0;1.0;0.1291537225488286;0.008333333333333333;1.0;0.0
204724;0;1;1;0.5040057288636262;1.0;1.0;1.0;1.0;1.0;0.1291537225488286;0.008333333333333333;1.0;0.0
205086;0;1;1;0.5040057288636262;1.0;1.0;1.0;1.0;1.0;0.1291537225488286;0.008333333333333333;1.0;0.0
207726;0;1;1;0.5040057288636262;1.0;1.0;1.0;1.0;1.0;0.1291537225488286;0.008333333333333333;1.0;0.0
211113;1;1;1;0.5040057288636262;1.0;1.0;1.0;1.0;1.0;0.1291537225488286;0.008333333333333333;1.0;0.0
213076;0;1;1;0.5040057288636262;1.0;1.0;1.0;1.0;1.0;0.1291537225488286;0.008333333333333333;1.0;0.0
213144;1;1;1;0.5040057288636262;1.0;1.0;1.0;1.0;1.0;0.1291537225488286;0.008333333333333333;1.0;0.0
204469_9;0;9;0;0.5561301588367642;1.0;1.0;1.0;1.0;1.0;0.1291537225488286;0.008333333333333333;1.0;0.0
204544_7;0;7;0;0.5561301588367642;1.0;1.0;1.0;1.0;1.0;0.1291537225488286;0.008333333333333333;1.0;0.0
204607_9;1;9;0;0.5561301588367642;1.0;1.0;1.0;1.0;1.0;0.1291537225488286;0.008333333333333333;1.0;0.0
204679_12;0;12;0;0.5561301588367642;1.0;1.0;1.0;1.0;1.0;0.1291537225488286;0.008333333333333333;1.0;0.0
204838_4;0;4;0;0.5561301588367642;1.0;1.0;1.0;1.0;1.0;0.1291537225488286;0.008333333333333333;1.0;0.0
204924_4;1;4;1;0.5040057288636262;1.0;1.0;1.0;1.0;1.0;0.1291537225488286;0.008333333333333333;1.0;0.0
204936_5;0;5;0;0.5561301588367642;1.0;1.0;1.0;1.0;1.0;0.1291537225488286;0.008333333333333333;1.0;0.0
205202_2;1;2;1;0.5040057288636262;1.0;1.0;1.0;1.0;1.0;0.1291537225488286;0.008333333333333333;1.0;0.0
205295_3;0;3;1;0.5040057288636262;1.0;1.0;1.0;1.0;1.0;0.1291537225488286;0.008333333333333333;1.0;0.0
205295_7;0;7;1;0.5040057288636262;1.0;1.0;1.0;1.0;1.0;0.1291537225488286;0.008333333333333333;1.0;0.0
205340_9;0;9;0;0.5561301588367642;1.0;1.0;1.0;1.0;1.0;0.1291537225488286;0.008333333333333333;1.0;0.0
205514_13;0;13;0;0.5561301588367642;1.0;1.0;1.0;1.0;1.0;0.1291537225488286;0.008333333333333333;1.0;0.0
205724_13;0;13;1;0.5040057288636262;1.0;1.0;1.0;1.0;1.0;0.1291537225488286;0.008333333333333333;1.0;0.0
205724_9;0;9;0;0.5561301588367642;1.0;1.0;1.0;0.0;0.0;0.12698307174968862;0.008333333333333333;1.0;0.0
205742_8;1;8;1;0.5040057288636262;1.0;1.0;1.0;1.0;1.0;0.1291537225488286;0.008333333333333333;1.0;0.0
205882_5;1;5;1;0.5040057288636262;1.0;1.0;1.0;1.0;1.0;0.1291537225488286;0.008333333333333333;1.0;0.0
205912_4;0;4;1;0.5040057288636262;1.0;1.0;1.0;1.0;1.0;0.1291537225488286;0.008333333333333333;1.0;0.0
