"Case ID;Actual;Prefix Length;Prediction;Prediction Probability;SHAP Subset Stability;SHAP Weight Stability;SHAP Adjusted Weight Stability;LIME Subset Stability;LIME Weight Stability;LIME Adjusted Weight Stability;ACV Subset Stability;ACV Weight Stability;ACV Adjusted Weight Stability;LINDA Subset Stability;LINDA Weight Stability;LINDA Adjusted Weight Stability";MAPE Correctness;RMSE Correctness;R2 Correctness;Mode
"204484;0;1;0;0.5230416266981354;1.0;1.0;1.0;-0.14863940927116134;0.9973176638664742;0.9973176638664742;;1.0;1.0;1.0;1.0;1.0";0.9282310064479955;0.9282310064479955;-0.25503068522533534;baseline_max
"204718;1;1;0;0.5230003296915602;1.0;1.0;1.0;-0.17172387111037454;0.99776298596294;0.99776298596294;;1.0;1.0;1.0;1.0;1.0";0.9265422937816581;0.9265422937816581;-0.9265422937816581;baseline_max
"204969;0;1;0;0.5468110267037964;1.0;1.0;1.0;1.0;0.9980744218157224;0.9980744218157224;;1.0;1.0;1.0;1.0;1.0";0.9495374264087469;0.9495374264087469;-0.25503068522533534;baseline_max
"206546;1;1;0;0.5192891209672311;1.0;1.0;1.0;1.0;0.9982546902891806;0.9982546902891806;;1.0;1.0;1.0;1.0;1.0";0.9304712933615287;0.9304712933615287;-0.9304712933615287;baseline_max
"208619;1;1;0;0.5188070394341253;1.0;1.0;1.0;1.0;0.996912439624292;0.996912439624292;;1.0;1.0;1.0;1.0;1.0";0.9108262954621751;0.9108262954621751;-0.9108262954621751;baseline_max
"208871;0;1;0;0.5475848147935919;1.0;1.0;1.0;1.0;0.9980165386359244;0.9980165386359244;;1.0;1.0;1.0;1.0;1.0";0.9416876927389964;0.9416876927389964;-0.9416876927389964;baseline_max
"209652;0;1;0;0.5501871286496873;1.0;1.0;1.0;-0.16883116883116964;0.9983881264992454;0.9983881264992454;;1.0;1.0;1.0;1.0;1.0";0.9428090832632464;0.9428090832632464;-0.9428090832632464;baseline_max
"214226;1;1;0;0.5413899789826784;1.0;1.0;1.0;1.0;0.9979170799238778;0.9979170799238778;;1.0;1.0;1.0;1.0;1.0";0.9276703111858705;0.9276703111858705;-0.9276703111858705;baseline_max
"204541_9;1;9;1;0.5487661945677647;1.0;1.0;1.0;1.0;0.9977868556842916;0.9977868556842916;;1.0;1.0;1.0;1.0;1.0";0.8889523445768663;0.8889523445768663;-0.8889523445768663;baseline_max
"204604_3;0;3;0;0.5869611397332892;1.0;1.0;1.0;1.0;0.9967416408344192;0.9967416408344192;;1.0;1.0;1.0;1.0;1.0";0.9108244889819264;0.9108244889819264;-0.27995136155606326;baseline_max
"204607_2;1;2;1;0.5020108518606452;1.0;1.0;1.0;-0.1775181261470813;0.9978461957106779;0.9978461957106779;;1.0;1.0;1.0;1.0;1.0";0.9343802947314589;0.9343802947314589;-0.9343802947314589;baseline_max
"204646_6;1;6;0;0.5146616786416038;1.0;1.0;1.0;-0.14287981904402924;0.9976904970471838;0.9976904970471838;;1.0;1.0;1.0;1.0;1.0";0.903529581956701;0.903529581956701;-0.903529581956701;baseline_max
"204799_10;0;10;1;0.5305574886290758;1.0;1.0;1.0;1.0;0.9985820319092579;0.9985820319092579;;1.0;1.0;1.0;1.0;1.0";0.8754057920861956;0.8754057920861956;;baseline_max
"205005_9;1;9;1;0.5321950581513172;1.0;1.0;1.0;1.0;0.9958314650151572;0.9958314650151572;;1.0;1.0;1.0;1.0;1.0";0.9098354507158114;0.9098354507158114;-0.35911627336483676;baseline_max
"205062_11;0;11;0;0.5690368361345728;1.0;1.0;1.0;-0.1572836299747924;0.9978369111899514;0.9978369111899514;;1.0;1.0;1.0;1.0;1.0";0.8894033611180828;0.8894033611180828;-0.2933461566097567;baseline_max
"205062_7;0;7;0;0.571807104529104;1.0;1.0;1.0;1.0;0.9981710596346016;0.9981710596346016;;1.0;1.0;1.0;1.0;1.0";0.9070764132393379;0.9070764132393379;-0.2933461566097567;baseline_max
"205238_2;0;2;0;0.5253634248743595;1.0;1.0;1.0;-0.16883116883116964;0.997557971213703;0.997557971213703;;1.0;1.0;1.0;1.0;1.0";0.9528884278203774;0.9528884278203774;-0.9528884278203774;baseline_max
"205268_12;1;12;1;0.5437075454209231;1.0;1.0;1.0;-0.1572836299747924;0.9973618912384165;0.9973618912384165;;1.0;1.0;1.0;1.0;1.0";0.8980935936976686;0.8980935936976686;-0.3972810783391683;baseline_max
"205343_5;0;5;0;0.5217092834248936;1.0;1.0;1.0;1.0;0.9921416767181908;0.9921416767181908;;1.0;1.0;1.0;1.0;1.0";0.9286768102764272;0.9286768102764272;;baseline_max
"205388_3;0;3;0;0.5200731709147683;1.0;1.0;1.0;-0.17172387111037454;0.9911646220297186;0.9911646220297186;;1.0;1.0;1.0;1.0;1.0";0.9295183841869633;0.9295183841869633;-0.9295183841869633;baseline_max
"205514_5;0;5;0;0.5243394699099171;1.0;1.0;1.0;1.0;0.9981492938428942;0.9981492938428942;;1.0;1.0;1.0;1.0;1.0";0.9404588450239306;0.9404588450239306;-0.9404588450239306;baseline_max
"205640_6;1;6;1;0.5253919545157784;1.0;1.0;1.0;1.0;0.9982336198005946;0.9982336198005946;;1.0;1.0;1.0;1.0;1.0";0.9178423661405157;0.9178423661405157;-0.9178423661405157;baseline_max
"205736_12;0;12;1;0.544234940112769;1.0;1.0;1.0;1.0;0.9982710349697236;0.9982710349697236;;1.0;1.0;1.0;1.0;1.0";0.8882533929827209;0.8882533929827209;-0.377137196526535;baseline_max
"205754_13;0;13;1;0.5364861323174452;1.0;1.0;1.0;-0.163053297199639;0.997942758161957;0.997942758161957;;1.0;1.0;1.0;1.0;1.0";0.8769447515859644;0.8769447515859644;-0.8769447515859644;baseline_max
"205837_8;1;8;0;0.5598716894345452;1.0;1.0;1.0;-0.15151985111662605;0.9971977805809346;0.9971977805809346;;1.0;1.0;1.0;1.0;1.0";0.9194194972605318;0.9194194972605318;;baseline_max
"205882_5;1;5;0;0.5201686591252179;1.0;1.0;1.0;-0.163053297199639;0.9947481934842044;0.9947481934842044;;1.0;1.0;1.0;1.0;1.0";0.9337262537396431;0.9337262537396431;-0.9337262537396431;baseline_max
"205960_8;0;8;1;0.5439592167998117;1.0;1.0;1.0;1.0;0.9810633156292364;0.9810633156292364;;1.0;1.0;1.0;1.0;1.0";0.9007231536853647;0.9007231536853647;-0.9007231536853647;baseline_max
"206050_14;0;14;1;0.5393755226633105;1.0;1.0;1.0;-0.17172387111037454;0.9979705718840368;0.9979705718840368;;1.0;1.0;1.0;1.0;1.0";0.870530522433897;0.870530522433897;;baseline_max
"206105_2;0;2;0;0.50813870204471;1.0;1.0;1.0;-0.14641336390435655;0.997644284981018;0.997644284981018;;1.0;1.0;1.0;1.0;1.0";0.9147841878178871;0.9147841878178871;;baseline_max
"206198_5;1;5;0;0.5611314574138508;1.0;1.0;1.0;-0.14863940927116134;0.9975000305696108;0.9975000305696108;;1.0;1.0;1.0;1.0;1.0";0.9182973987131505;0.9182973987131505;-0.9182973987131505;baseline_max
"206216_2;0;2;0;0.5055319184128179;1.0;1.0;1.0;0.8316498316498316;0.9984425800641212;0.9984425800641212;;1.0;1.0;1.0;1.0;1.0";0.9430735087580722;0.9430735087580722;-0.9430735087580722;baseline_max
"206255_7;0;7;0;0.5409431725721273;1.0;1.0;1.0;1.0;0.9976226324216636;0.9976226324216636;;1.0;1.0;1.0;1.0;1.0";0.9118453320657082;0.9118453320657082;-0.9118453320657082;baseline_max
"206258_11;1;11;1;0.5331675262980933;1.0;1.0;1.0;1.0;0.986731529381533;0.986731529381533;;1.0;1.0;1.0;1.0;1.0";0.8818673881125059;0.8818673881125059;-0.8818673881125059;baseline_max
"206513_8;1;8;0;0.5042707824764845;1.0;1.0;1.0;1.0;0.99745117296727;0.99745117296727;;1.0;1.0;1.0;1.0;1.0";0.8995665424454424;0.8995665424454424;;baseline_max
"206546_13;1;13;0;0.5803014850843373;1.0;1.0;1.0;1.0;0.9970124117475512;0.9970124117475512;;1.0;1.0;1.0;1.0;1.0";0.8560210040072651;0.8560210040072651;-0.8560210040072651;baseline_max
"206576_3;0;3;0;0.500354415808464;1.0;1.0;1.0;1.0;0.9985151570213426;0.9985151570213426;;1.0;1.0;1.0;1.0;1.0";0.9214797811433639;0.9214797811433639;;baseline_max
"206745_6;0;6;1;0.5024904309486065;1.0;1.0;1.0;1.0;0.9956751105892984;0.9956751105892984;;1.0;1.0;1.0;1.0;1.0";0.9245777939917226;0.9245777939917226;;baseline_max
"206925_2;0;2;0;0.5335683187818365;1.0;1.0;1.0;-0.1775181261470813;0.9975342890835884;0.9975342890835884;;1.0;1.0;1.0;1.0;1.0";0.9298934745886908;0.9298934745886908;-0.9298934745886908;baseline_max
"207023_14;1;14;1;0.5985428970311671;1.0;1.0;1.0;1.0;0.9985488183265374;0.9985488183265374;;1.0;1.0;1.0;1.0;1.0";0.8766990977100986;0.8766990977100986;;baseline_max
"207119_12;0;12;1;0.5471432549275571;1.0;1.0;1.0;1.0;0.9955183143816496;0.9955183143816496;;1.0;1.0;1.0;1.0;1.0";0.8933075149851732;0.8933075149851732;-0.8933075149851732;baseline_max
"207140_3;1;3;0;0.5305765723496021;1.0;1.0;1.0;1.0;0.9979395169561072;0.9979395169561072;;1.0;1.0;1.0;1.0;1.0";0.9356899261975603;0.9356899261975603;-0.9356899261975603;baseline_max
"207467_11;0;11;1;0.569755406198448;1.0;1.0;1.0;1.0;0.998433733334364;0.998433733334364;;1.0;1.0;1.0;1.0;1.0";0.8876768341469433;0.8876768341469433;-0.8876768341469433;baseline_max
"207572_11;0;11;1;0.5543570470733901;1.0;1.0;1.0;1.0;0.9979833312680338;0.9979833312680338;;1.0;1.0;1.0;1.0;1.0";0.8842537958370416;0.8842537958370416;-0.35911627336483676;baseline_max
"207605_7;1;7;0;0.5434272326990881;1.0;1.0;1.0;1.0;0.9975730075535372;0.9975730075535372;;1.0;1.0;1.0;1.0;1.0";0.9146505784341614;0.9146505784341614;-0.9146505784341614;baseline_max
"207632_10;0;10;1;0.6169961531530181;1.0;1.0;1.0;1.0;0.9983072786216208;0.9983072786216208;;1.0;1.0;1.0;1.0;1.0";0.8721256652505515;0.8721256652505515;-0.8721256652505515;baseline_max
