Case ID,Actual,Prefix Length,Prediction,Prediction Probability;SHAP Precision;SHAP Recall;SHAP Correlation;LIME Precision;LIME Recall;LIME Correlation
912.0,1.0,1.0,1.0,0.6759259259259259;1.0;1.0;0.5776996491121854;0.5;1.0;0.04914803646878749
916.0,0.0,1.0,1.0,0.6759259259259259;1.0;1.0;0.5776996491121854;0.5;1.0;0.04914803646878749
941.0,1.0,1.0,1.0,0.6759259259259259;1.0;1.0;0.5776996491121854;0.5;1.0;0.04914803646878749
946.0,1.0,1.0,1.0,0.6759259259259259;1.0;1.0;0.5776996491121854;0.5;1.0;0.04914803646878749
968.0,0.0,1.0,0.0,0.8579654510556622;1.0;0.3333333333333333;1.0;1.0;0.6666666666666666;0.08500674882017757
987.0,1.0,1.0,1.0,0.6759259259259259;1.0;1.0;0.5776996491121854;0.5;1.0;0.04914803646878749
1069.0,0.0,1.0,1.0,0.6759259259259259;1.0;1.0;0.5776996491121854;0.5;1.0;0.04914803646878749
1108.0,0.0,1.0,1.0,0.6759259259259259;1.0;1.0;0.5776996491121854;0.5;1.0;0.04914803646878749
1005_2,0,2,1,0.7341040462427746;1.0;0.5;0.8167139366033259;1.0;0.5;0.06518285781510592
1107_2,0,2,0,0.9511278195488722;1.0;0.5;0.8167139366033259;1.0;0.5;0.06511347744489293
1111_2,0,2,0,0.8823529411764706;1.0;0.5;0.8158446295925721;1.0;0.5;0.06518285781510592
1115_2,1,2,0,0.6958333333333333;1.0;0.5;0.8167139366033259;1.0;0.5;0.06511347744489293
1117_2,1,2,1,0.7341040462427746;1.0;0.5;0.8167139366033259;1.0;0.5;0.06518285781510592
1133_2,0,2,0,0.9511278195488722;0.5;0.5;0.8158446295925721;1.0;0.5;0.06511347744489293
954_2,1,2,0,0.6958333333333333;1.0;0.5;0.8167139366033259;1.0;0.5;0.06511347744489293
995_2,1,2,1,0.7341040462427746;1.0;0.5;0.8167139366033259;1.0;0.5;0.06518285781510592
1002_3,1,3,0,0.8225352112676056;1.0;1.0;1.0;1.0;1.0;0.043750069570890025
1012_3,0,3,0,0.8225352112676056;1.0;1.0;1.0;1.0;1.0;0.043750069570890025
1032_3,1,3,1,0.6834170854271356;1.0;1.0;1.0;1.0;1.0;0.043750069570890025
1141_3,0,3,1,0.6834170854271356;1.0;1.0;1.0;1.0;1.0;0.043750069570890025
914_3,1,3,1,0.6834170854271356;1.0;1.0;1.0;1.0;1.0;0.043750069570890025
926_3,1,3,1,0.6834170854271356;1.0;1.0;1.0;1.0;1.0;0.043750069570890025
936_3,0,3,1,0.6834170854271356;1.0;1.0;1.0;1.0;1.0;0.043750069570890025
967_3,0,3,0,0.8225352112676056;1.0;1.0;1.0;1.0;1.0;0.043750069570890025
1048_4,0,4,1,0.6377551020408163;1.0;0.16666666666666666;0.8156051894949384;1.0;0.16666666666666666;0.10084320494978156
1059_4,1,4,1,1.0;1.0;0.25;0.6653573052904705;1.0;0.25;0.08328416882556627
1083_4,1,4,0,0.5510204081632653;1.0;0.4;0.7439241511674147;1.0;0.2;0.0929233569685853
918_4,1,4,1,0.6377551020408163;1.0;0.16666666666666666;0.8156051894949384;1.0;0.16666666666666666;0.09998167808469284
936_4,0,4,0,0.5510204081632653;1.0;0.4;0.7439241511674147;1.0;0.2;0.09282574840034097
